id_sub,_class,id,display_name,title
8,course_label,6368,JavaScript,JavaScript
8,course_label,7450,React JS,React JS
8,course_label,28016,Angular,Angular
8,course_label,5306,CSS,CSS
8,course_label,57548,Next.js,Next.js
8,course_label,6148,HTML,HTML
8,course_label,6928,Node.Js,Node.Js
8,course_label,10230,ASP.NET Core,ASP.NET Core
558,course_label,6594,Học máy,Học máy
558,course_label,7380,Python,Python
558,course_label,5374,Học sâu,Học sâu
558,course_label,4624,Trí tuệ nhân tạo,Trí tuệ nhân tạo
558,course_label,6874,Xử lý ngôn ngữ tự nhiên,Xử lý ngôn ngữ tự nhiên
558,course_label,2146122,LangChain,LangChain
558,course_label,5328,Phân tích dữ liệu,Phân tích dữ liệu
558,course_label,7432,R (ngôn ngữ lập trình),R (ngôn ngữ lập trình)
10,course_label,4470,Phát triển Android,Phát triển Android
10,course_label,6292,Phát triển ứng dụng cho iOS,Phát triển ứng dụng cho iOS
10,course_label,9884,React Native,React Native
10,course_label,37860,Dart (ngôn ngữ lập trình),Dart (ngôn ngữ lập trình)
10,course_label,7956,Swift,Swift
10,course_label,13554,Kotlin,Kotlin
10,course_label,5402,Phát triển ứng dụng mobile,Phát triển ứng dụng mobile
10,course_label,131074,SwiftUI,SwiftUI
12,course_label,6336,Java,Java
12,course_label,4904,C# (programming language),C# (programming language)
12,course_label,4908,C++ (ngôn ngữ lập trình),C++ (ngôn ngữ lập trình)
12,course_label,7450,React JS,React JS
12,course_label,5972,Go (ngôn ngữ lập trình),Go (ngôn ngữ lập trình)
12,course_label,7856,Spring Framework,Spring Framework
12,course_label,9174,C (ngôn ngữ lập trình),C (ngôn ngữ lập trình)
12,course_label,6368,JavaScript,JavaScript
14,course_label,8154,Unity,Unity
14,course_label,5904,Nguyên tắc cơ bản về phát triển trò chơi,Nguyên tắc cơ bản về phát triển trò chơi
14,course_label,4904,C# (programming language),C# (programming language)
14,course_label,36020,Godot,Godot
14,course_label,4908,C++ (ngôn ngữ lập trình),C++ (ngôn ngữ lập trình)
14,course_label,4280,Phát triển trò chơi 3D,Phát triển trò chơi 3D
14,course_label,25642,Phát triển trò chơi 2D,Phát triển trò chơi 2D
14,course_label,109866,Unreal Engine Blueprints,Unreal Engine Blueprints
16,course_label,6866,MySQL,MySQL
16,course_label,5354,Database Management Systems (DBMS),Database Management Systems (DBMS)
16,course_label,7866,SQL Server,SQL Server
16,course_label,7258,PostgreSQL,PostgreSQL
16,course_label,4556,Apache Kafka,Apache Kafka
16,course_label,6804,MongoDB,MongoDB
16,course_label,7040,Oracle SQL,Oracle SQL
16,course_label,5356,Lập trình cơ sở dữ liệu,Lập trình cơ sở dữ liệu
18,course_label,11778,Selenium WebDriver,Selenium WebDriver
18,course_label,17090,Kiểm tra tự động hóa,Kiểm tra tự động hóa
18,course_label,6336,Java,Java
18,course_label,9618,Postman,Postman
18,course_label,156426,Microsoft Playwright,Microsoft Playwright
18,course_label,7660,Selenium Testing Framework,Selenium Testing Framework
18,course_label,22062,Chứng chỉ CTFL của ISTQB,Chứng chỉ CTFL của ISTQB
18,course_label,4570,Kiểm tra API,Kiểm tra API
20,course_label,9252,Thuật toán,Thuật toán
20,course_label,142360,Chứng chỉ nhà phát triển ứng dụng Kubernetes (CKAD),Chứng chỉ nhà phát triển ứng dụng Kubernetes (CKAD)
20,course_label,155842,Phỏng vấn lập trình,Phỏng vấn lập trình
20,course_label,7800,Kiến trúc phần mềm,Kiến trúc phần mềm
20,course_label,9192,Microservices,Microservices
20,course_label,7810,Các phương pháp thực hành phần mềm,Các phương pháp thực hành phần mềm
20,course_label,157972,Phát triển web back-end,Phát triển web back-end
20,course_label,4440,Giải thuật Java,Giải thuật Java
362,course_label,5954,Git,Git
362,course_label,6472,Kubernetes,Kubernetes
362,course_label,6388,JIRA,JIRA
362,course_label,158142,Kỹ nghệ gợi ý,Kỹ nghệ gợi ý
362,course_label,5956,GitHub,GitHub
362,course_label,27134,Confluence,Confluence
362,course_label,47952,Terraform,Terraform
362,course_label,5404,DevOps (Phát triển và vận hành),DevOps (Phát triển và vận hành)
575,course_label,93657,Lập trình trực quan bằng Bubble,Lập trình trực quan bằng Bubble
575,course_label,158078,Generative AI  (GenAI),Generative AI  (GenAI)
575,course_label,157186,Microsoft Power Platform,Microsoft Power Platform
575,course_label,20736,Microsoft Power Apps,Microsoft Power Apps
575,course_label,8320,Thiết kế web,Thiết kế web
575,course_label,37800,Phát triển ứng dụng,Phát triển ứng dụng
575,course_label,583040,GPT tùy chỉnh / Trình tạo GPT,GPT tùy chỉnh / Trình tạo GPT
575,course_label,158278,FlutterFlow,FlutterFlow
26,course_label,5654,Nguyên tắc cơ bản về khởi nghiệp,Nguyên tắc cơ bản về khởi nghiệp
26,course_label,5874,Freelancing,Freelancing
26,course_label,6992,Kinh doanh online,Kinh doanh online
26,course_label,4898,Chiến lược kinh doanh,Chiến lược kinh doanh
26,course_label,158002,ChatGPT,ChatGPT
26,course_label,7888,Startup,Startup
26,course_label,4894,Kế hoạch kinh doanh,Kế hoạch kinh doanh
26,course_label,6252,Marketing trên Instagram,Marketing trên Instagram
28,course_label,7368,Diễn thuyết trước công chúng,Diễn thuyết trước công chúng
28,course_label,7292,Kỹ năng thuyết trình,Kỹ năng thuyết trình
28,course_label,8472,Viết,Viết
28,course_label,5782,Viết truyện hư cấu,Viết truyện hư cấu
