id_categories,_class,id,title,type
c871ab3a-bc04-4dcd-aa92-10ad2fc8a0f0_48_288,course_subcategory,8,Phát triển web,subcategory
c871ab3a-bc04-4dcd-aa92-10ad2fc8a0f0_48_288,course_subcategory,558,Khoa học dữ liệu,subcategory
c871ab3a-bc04-4dcd-aa92-10ad2fc8a0f0_48_288,course_subcategory,10,Phát triển ứng dụng di động,subcategory
c871ab3a-bc04-4dcd-aa92-10ad2fc8a0f0_48_288,course_subcategory,12,Ngôn ngữ lập trình,subcategory
c871ab3a-bc04-4dcd-aa92-10ad2fc8a0f0_48_288,course_subcategory,14,Phát triển trò chơi,subcategory
c871ab3a-bc04-4dcd-aa92-10ad2fc8a0f0_48_288,course_subcategory,16,Thiết kế & Phát triển cơ sở dữ liệu,subcategory
c871ab3a-bc04-4dcd-aa92-10ad2fc8a0f0_48_288,course_subcategory,18,Kiểm tra phần mềm,subcategory
c871ab3a-bc04-4dcd-aa92-10ad2fc8a0f0_48_288,course_subcategory,20,Kỹ thuật phần mềm,subcategory
c871ab3a-bc04-4dcd-aa92-10ad2fc8a0f0_48_288,course_subcategory,362,Công cụ phát triển phần mềm,subcategory
c871ab3a-bc04-4dcd-aa92-10ad2fc8a0f0_48_288,course_subcategory,575,Viết phần mềm không cần biết lập trình,subcategory
da461ab9-dbc7-48d1-8635-fcff39b5b2b0_48_268,course_subcategory,26,Tinh thần khởi nghiệp,subcategory
da461ab9-dbc7-48d1-8635-fcff39b5b2b0_48_268,course_subcategory,28,Giao tiếp,subcategory
da461ab9-dbc7-48d1-8635-fcff39b5b2b0_48_268,course_subcategory,30,Quản lý,subcategory
da461ab9-dbc7-48d1-8635-fcff39b5b2b0_48_268,course_subcategory,32,Bán hàng,subcategory
da461ab9-dbc7-48d1-8635-fcff39b5b2b0_48_268,course_subcategory,34,Chiến lược kinh doanh,subcategory
da461ab9-dbc7-48d1-8635-fcff39b5b2b0_48_268,course_subcategory,36,Hoạt động,subcategory
